Geohash,vec
9q5c4,0.8254249999999957 -0.49801499999999854 0.42726999999998766 -0.7002600000000477 0.5346949999999732 0.7751250000000366 0.3926699999999829 0.7845099999999958 -0.0068800000000001004 0.49641500000003824 -0.025141499999999886 -0.975105000000103 -0.3651500000000393 -0.41965000000000413 -0.06902050000000443 -0.9241699999999636 0.5809399999999606 0.6922500000000359 -0.3866299999999783 0.060771499999992325 0.21027949999999473 0.1774799999999748 -0.7321600000000151 0.35620999999996583 0.430954999999994 -0.28737999999998803 0.3612149999999562 -1.1248999999998697 -0.01011849999999912 0.030046499999997964 -0.054544500000000905 0.12223050000000056 0.21611499999996897 0.8219600000001175 -0.273580000000023 -0.1714050000000202 0.4694249999999491 -0.43350000000004946 0.47557999999997347 0.29530500000003207 0.11964049999998871 -0.4926599999999289 -0.9341999999999737 -0.5584749999999554 0.9278649999999887 -0.2940599999999624 -0.5101850000000542 -0.8137750000000077 -0.01796000000000134 -0.003433499999999885 -0.1972379999999899 -0.33448999999997225 -0.4106549999999805 -0.4951399999999927 0.25617000000003076 -2.545749999999801 -0.2960299999999777 0.278800000000029 1.5438500000000195 0.8284999999999992 -1.326600000000125 0.8626250000000402 -0.04639700000000627 -1.1350700000000475 -0.2560149999999953 -0.7377400000000172 0.3881699999999739 0.1310200000000049 -0.40204999999998153 1.2569000000001025 -0.1892834999999943 0.771525000000084 -1.005865000000066 0.03469899999999784 0.22406999999998772 -0.6404400000000291 0.3676149999999463 -0.09343699999999526 -0.9315550000000503 -0.03809899999999635 -0.00791499999999942 0.4741399999999719 -0.42515499999995027 -0.25624999999998466 -0.6693599999999634 0.019588999999999388 -0.3930649999999996 0.47350000000002557 -0.4313649999999591 0.023128499999999063 0.19089250000001273 -0.7723900000000616 0.22729000000002073 -0.13696700000001755 -0.5800100000000212 0.7660749999999759 -0.6468700000000293 0.029445999999998997 0.49400500000001357 -0.2179849999999988
9q5fh,0.8254249999999957 -0.49801499999996346 0.4272699999999829 -0.7002600000000322 0.5346950000000401 0.7751249999999842 0.39266999999997343 0.7845099999999651 -0.006879999999999853 0.49641500000001737 -0.025141499999999716 -0.9751049999999868 -0.36515000000000913 -0.4196500000000276 -0.0690204999999954 -0.924169999999924 0.5809400000000404 0.6922500000000211 -0.38662999999998493 0.06077149999999577 0.21027949999999407 0.17747999999999384 -0.7321600000000189 0.35620999999999664 0.43095500000002385 -0.28737999999999025 0.36121499999999196 -1.1248999999999172 -0.010118500000000348 0.030046499999998325 -0.05454449999999904 0.12223050000000056 0.2161149999999846 0.8219600000000518 -0.27358000000001315 -0.17140500000000075 0.46942500000000104 -0.43350000000001976 0.475580000000022 0.29530499999999027 0.11964050000000244 -0.49265999999995636 -0.9342000000000297 -0.5584750000000297 0.9278650000000739 -0.29405999999997395 -0.5101850000000292 -0.8137750000000442 -0.017960000000000774 -0.0034334999999998963 -0.19723800000000277 -0.3344899999999804 -0.41065499999998506 -0.49513999999999303 0.25616999999999746 -2.5457500000001207 -0.29602999999998053 0.2788000000000175 1.543850000000019 0.8285000000000433 -1.3265999999999925 0.862625000000051 -0.046397000000001756 -1.1350699999999283 -0.2560150000000159 -0.7377400000000219 0.38816999999996743 0.13101999999999342 -0.4020499999999863 1.256899999999963 -0.18928349999999042 0.7715250000000663 -1.0058650000000533 0.03469900000000241 0.2240699999999906 -0.6404399999999653 0.3676149999999799 -0.09343699999999579 -0.9315550000000067 -0.03809900000000163 -0.00791500000000035 0.47414000000002016 -0.4251549999999806 -0.2562500000000149 -0.6693600000000252 0.019589000000001418 -0.39306499999998384 0.47350000000000414 -0.4313649999999885 0.023128499999998896 0.19089250000000918 -0.7723900000000452 0.22729000000000868 -0.1369670000000114 -0.5800099999999581 0.7660750000000006 -0.6468700000000253 0.029445999999997505 0.4940050000000123 -0.2179849999999988
9qh1b,0.8254249999999957 -0.49801500000001037 0.4272700000000016 -0.700260000000021 0.5346949999999595 0.7751250000000443 0.3926700000000016 0.784510000000035 -0.006880000000000322 0.49641500000004124 -0.0251414999999989 -0.9751050000001349 -0.36515000000004366 -0.41964999999998664 -0.06902050000000608 -0.924169999999989 0.580939999999948 0.692250000000038 -0.3866299999999774 0.06077149999999183 0.21027950000000184 0.17747999999998076 -0.7321599999999727 0.35620999999996145 0.4309549999999768 -0.2873799999999877 0.36121499999995105 -1.124899999999863 -0.010118499999998943 0.030046499999997915 -0.05454450000000271 0.12223050000000056 0.21611499999996672 0.821960000000127 -0.27358000000002447 -0.171405000000023 0.4694249999999325 -0.43350000000005373 0.47557999999995787 0.2953050000000384 0.11964049999998466 -0.49265999999992494 -0.934199999999947 -0.5584749999999423 0.9278649999999572 -0.29405999999996074 -0.5101850000000578 -0.8137749999999712 -0.01796000000000142 -0.0034334999999998833 -0.19723799999998803 -0.3344899999999756 -0.410654999999995 -0.49513999999999264 0.25617000000003837 -2.5457499999997553 -0.2960299999999773 0.2788000000000307 1.5438500000000195 0.8284999999999635 -1.3266000000001439 0.862625000000013 -0.04639700000000692 -1.1350700000000686 -0.25601499999998945 -0.7377399999999753 0.3881699999999928 0.13102000000000777 -0.402049999999997 1.2569000000001225 -0.18928350000000446 0.7715250000000864 -1.0058650000000677 0.034698999999997024 0.2240699999999873 -0.6404400000000383 0.3676149999999622 -0.09343699999999519 -0.9315550000000565 -0.038098999999995595 -0.007914999999999192 0.47413999999995626 -0.4251549999999459 -0.2562499999999775 -0.6693599999999545 0.019588999999999097 -0.3930650000000192 0.4735000000000287 -0.4313649999999548 0.02312850000000036 0.19089250000001323 -0.772390000000064 0.22729000000002247 -0.13696700000001844 -0.5800100000000314 0.7660749999999351 -0.6468700000000298 0.029445999999999774 0.49400500000001374 -0.2179849999999988
9q5dt,0.8254249999999964 -0.49801500000000404 0.4272699999999949 -0.7002600000000001 0.5346949999999994 0.7751250000000024 0.3926700000000029 0.7845100000000076 -0.006880000000000102 0.4964150000000065 -0.025141500000000126 -0.9751049999999953 -0.3651499999999999 -0.4196499999999965 -0.06902050000000044 -0.9241700000000029 0.5809399999999983 0.6922500000000013 -0.38662999999999725 0.06077150000000061 0.21027949999999884 0.17748000000000164 -0.7321600000000047 0.3562100000000025 0.43095500000000425 -0.28738000000000163 0.36121499999999623 -1.1249000000000136 -0.010118499999999938 0.03004649999999967 -0.05454449999999955 0.12223050000000048 0.2161150000000013 0.8219599999999934 -0.27358 -0.17140499999999775 0.469425000000001 -0.4335000000000032 0.47558000000000206 0.29530500000000215 0.11964050000000107 -0.49266000000000065 -0.9341999999999893 -0.5584749999999931 0.9278649999999973 -0.29406000000000154 -0.510185000000003 -0.8137750000000077 -0.01796000000000024 -0.0034335000000000337 -0.19723799999999891 -0.33448999999999757 -0.4106549999999975 -0.49513999999999725 0.2561699999999981 -2.5457499999999986 -0.29603000000000157 0.2787999999999994 1.5438500000000133 0.8285000000000066 -1.3265999999999925 0.8626249999999924 -0.046396999999999765 -1.1350700000000036 -0.2560150000000011 -0.7377399999999916 0.3881700000000019 0.13102000000000033 -0.4020500000000022 1.256899999999984 -0.1892835000000011 0.7715249999999972 -1.005864999999985 0.03469899999999984 0.2240699999999983 -0.6404400000000072 0.36761500000000064 -0.093437000000001 -0.9315550000000028 -0.03809900000000003 -0.007915000000000005 0.4741400000000035 -0.42515499999999584 -0.25624999999999737 -0.6693599999999984 0.01958899999999989 -0.393065000000005 0.47350000000000125 -0.4313649999999996 0.023128500000000215 0.1908925000000006 -0.7723899999999901 0.22728999999999736 -0.13696699999999887 -0.5800099999999984 0.7660750000000006 -0.6468699999999977 0.029446000000000076 0.49400499999999536 -0.21798499999999896
9q5cb,0.8254249999999957 -0.49801500000003074 0.42727000000002574 -0.7002599999999478 0.5346949999999359 0.7751250000000572 0.3926700000000339 0.7845100000001027 -0.006880000000000705 0.49641500000004646 -0.025141499999997197 -0.9751050000001901 -0.36515000000005116 -0.4196499999999564 -0.06902050000000738 -0.9241700000000328 0.5809399999999263 0.6922500000000417 -0.3866299999999757 0.06077149999999098 0.2102795000000141 0.17747999999999503 -0.7321599999998992 0.3562099999999538 0.4309549999999471 -0.2873800000000021 0.36121499999994217 -1.1248999999998923 -0.01011849999999985 0.030046499999997825 -0.05454450000000583 0.12223050000000056 0.21611499999996284 0.8219600000001434 -0.2735800000000269 -0.17140500000002787 0.4694249999999038 -0.4335000000000611 0.47557999999993095 0.2953050000000493 0.11964049999997764 -0.4926599999999181 -0.9341999999999008 -0.5584749999999196 0.9278649999999027 -0.2940599999999776 -0.5101850000000641 -0.8137749999999082 -0.017960000000000628 -0.0034334999999998802 -0.19723799999998481 -0.3344900000000139 -0.41065500000002003 -0.4951399999999926 0.2561700000000515 -2.5457499999999595 -0.2960299999999766 0.2788000000000336 1.5438500000000197 0.8284999999999016 -1.326600000000177 0.8626249999999658 -0.046397000000008036 -1.1350700000001048 -0.2560149999999794 -0.737739999999903 0.3881700000000254 0.1310200000000127 -0.4020500000000238 1.2569000000001571 -0.189283500000022 0.7715250000000908 -1.005865000000071 0.0346989999999956 0.22406999999998659 -0.6404400000000541 0.36761499999998976 -0.09343699999999505 -0.9315550000000674 -0.03809899999999428 -0.007914999999998796 0.4741399999999292 -0.42515499999993833 -0.2562499999999651 -0.6693599999999391 0.01958899999999859 -0.393065000000053 0.473500000000034 -0.4313649999999475 0.023128500000002605 0.19089250000001412 -0.7723900000000681 0.22729000000002547 -0.13696700000001774 -0.5800100000000155 0.7660749999998647 -0.6468699999999536 0.029446000000001114 0.49400500000001407 -0.2179849999999988
9q5c3,0.8254249999999957 -0.49801500000005045 0.42727000000004906 -0.700259999999877 0.5346950000000086 0.7751250000000699 0.3926700000000652 0.7845100000001684 -0.006880000000000784 0.4964149999999835 -0.02514149999999555 -0.9751050000001217 -0.36515000000005843 -0.41964999999992714 -0.06902049999999833 -0.9241700000000751 0.5809399999999052 0.6922500000000452 -0.38662999999997416 0.060771499999990146 0.210279500000026 0.17748000000000883 -0.7321599999998282 0.35620999999994635 0.4309549999999183 -0.287380000000047 0.36121499999993356 -1.1249000000000666 -0.010118500000000814 0.030046500000001197 -0.05454450000000886 0.12223049999998505 0.2161149999999643 0.8219600000001592 -0.2735800000000293 -0.17140500000003253 0.4694249999999217 -0.4335000000000682 0.47557999999995587 0.29530500000005977 0.11964049999998425 -0.49265999999991145 -0.9341999999998561 -0.5584749999998976 0.9278649999998501 -0.29406000000001925 -0.51018500000007 -0.8137749999998473 -0.017959999999997926 -0.0034334999999998776 -0.1972379999999817 -0.3344900000000509 -0.4106550000000443 -0.49513999999999253 0.2561700000000642 -2.545750000000211 -0.2960299999999759 0.27880000000003635 1.5438500000000197 0.8284999999998418 -1.3266000000002087 0.8626249999999203 -0.046397000000009125 -1.13507000000014 -0.2560149999999697 -0.7377399999998331 0.3881700000000569 0.13102000000001746 -0.40205000000004965 1.2569000000001909 -0.18928350000003896 0.771525000000095 -1.005864999999928 0.03469899999999422 0.22406999999999902 -0.6404400000000695 0.3676150000000164 -0.09343699999999493 -0.9315549999999928 -0.03809899999999301 -0.007914999999998415 0.4741399999999528 -0.42515499999993106 -0.2562499999999532 -0.6693599999999242 0.0195889999999981 -0.3930650000000857 0.47350000000003917 -0.43136499999995004 0.023128500000004777 0.19089250000001498 -0.7723900000000721 0.22729000000001218 -0.1369669999999954 -0.5800099999999425 0.7660749999997966 -0.6468699999998738 0.029446000000002415 0.4940049999999483 -0.21798500000000595
9q5ch,0.8254249999999957 -0.4980150000000163 0.42727000000000864 -0.7002599999999997 0.5346949999999525 0.775125000000048 0.392670000000011 0.7845100000000548 -0.0068800000000004335 0.49641500000004274 -0.025141499999998405 -0.975105000000151 -0.3651500000000458 -0.4196499999999778 -0.06902050000000691 -0.9241700000000017 0.5809399999999417 0.692250000000039 -0.3866299999999769 0.06077149999999158 0.21027950000000542 0.1774799999999849 -0.7321599999999513 0.3562099999999592 0.4309549999999681 -0.28737999999998753 0.36121499999994844 -1.1248999999998595 -0.010118499999999144 0.030046499999997887 -0.05454450000000362 0.12223050000000056 0.21611499999996558 0.8219600000001318 -0.2735800000000252 -0.17140500000002443 0.4694249999999241 -0.4335000000000559 0.47557999999995 0.29530500000004156 0.11964049999998261 -0.49265999999992294 -0.9341999999999335 -0.5584749999999357 0.9278649999999413 -0.2940599999999599 -0.5101850000000596 -0.8137749999999528 -0.01796000000000146 -0.0034334999999998824 -0.1972379999999871 -0.33448999999998674 -0.41065500000000227 -0.49513999999999264 0.2561700000000422 -2.5457499999997757 -0.2960299999999771 0.2788000000000315 1.5438500000000195 0.8284999999999455 -1.3266000000001537 0.8626249999999992 -0.046397000000007245 -1.135070000000079 -0.2560149999999865 -0.7377399999999542 0.3881700000000023 0.1310200000000092 -0.4020500000000048 1.2569000000001325 -0.18928350000000957 0.7715250000000877 -1.0058650000000686 0.03469899999999661 0.22406999999998709 -0.6404400000000429 0.36761499999997027 -0.09343699999999515 -0.9315550000000598 -0.03809899999999521 -0.007914999999999076 0.4741399999999484 -0.4251549999999437 -0.2562499999999739 -0.66935999999995 0.01958899999999895 -0.39306500000002903 0.47350000000003023 -0.4313649999999527 0.023128500000001016 0.1908925000000135 -0.7723900000000652 0.22729000000002336 -0.1369670000000189 -0.5800100000000367 0.7660749999999146 -0.6468700000000119 0.029446000000000163 0.49400500000001385 -0.2179849999999988
9q5ck,0.8254250000000526 -0.49801500000005655 0.42727000000005627 -0.7002599999998551 0.5346950000000316 0.7751250000000738 0.39267000000007474 0.7845100000001761 -0.006880000000000328 0.4964149999999527 -0.025141499999996132 -0.9751050000000722 -0.36515000000006065 -0.4196499999999182 -0.06902049999999556 -0.9241700000000881 0.5809399999998988 0.6922500000000462 -0.38662999999997366 0.06077149999998989 0.21027950000002965 0.17748000000001307 -0.7321599999998064 0.35620999999994407 0.4309549999999095 -0.2873800000000608 0.3612149999999309 -1.1249000000001201 -0.010118500000001111 0.03004650000000326 -0.05454450000000979 0.12223049999997683 0.21611499999998174 0.8219600000001108 -0.2735800000000301 -0.17140500000003397 0.46942499999994736 -0.43350000000007044 0.47557999999998163 0.29530500000006304 0.11964049999999055 -0.4926599999999094 -0.9341999999998424 -0.5584749999998908 0.9278649999998339 -0.2940600000000321 -0.5101850000000719 -0.8137749999998731 -0.017959999999997093 -0.0034334999999998768 -0.19723799999998512 -0.3344900000000623 -0.4106550000000254 -0.4951399999999925 0.2561700000000681 -2.545750000000288 -0.2960299999999757 0.2788000000000372 1.54385000000002 0.8284999999998234 -1.3266000000002185 0.8626249999999063 -0.04639700000000946 -1.1350700000001508 -0.2560149999999667 -0.7377399999998115 0.38817000000006663 0.13102000000001893 -0.40205000000004043 1.256900000000201 -0.1892835000000442 0.7715250000000964 -1.005864999999865 0.0346989999999938 0.22407000000001673 -0.6404400000000742 0.3676150000000246 -0.09343699999999489 -0.9315549999999271 -0.03809899999999262 -0.007914999999998297 0.47413999999997863 -0.42515499999992884 -0.25624999999994946 -0.6693599999999197 0.019588999999997952 -0.39306500000009575 0.4735000000000408 -0.4313649999999851 0.023128500000005447 0.19089250000001523 -0.7723900000000733 0.2272899999999954 -0.13696699999998851 -0.5800099999999201 0.7660749999997756 -0.6468699999998493 0.029446000000002814 0.4940049999999159 -0.21798500000002438
9q5cv,0.8254250000002494 -0.49801500000007193 0.4272700000000745 -0.7002599999998 0.5346950000000897 0.7751250000000837 0.3926700000000991 0.7845100000000199 -0.006879999999999174 0.49641499999987476 -0.02514150000000116 -0.975104999999947 -0.36514999999998216 -0.4196499999998954 -0.06902049999998851 -0.9241700000001212 0.5809399999998823 0.692250000000049 -0.38662999999997244 0.060771499999989244 0.2102795000000389 0.17747999999998704 -0.7321599999997511 0.3562099999999383 0.4309549999998871 -0.2873800000000957 0.36121499999992424 -1.1249000000002558 -0.01011850000000186 0.030046500000008476 -0.054544500000012146 0.12223049999995605 0.21611500000002581 0.8219599999999254 -0.2735800000000319 -0.1714050000000376 0.4694250000000123 -0.43350000000007605 0.4755800000000468 0.2953050000000712 0.11964050000000648 -0.49265999999990423 -0.9341999999998075 -0.5584749999998737 0.9278649999997928 -0.29406000000006444 -0.5101850000000766 -0.8137750000000255 -0.01795999999999499 -0.0034334999999998746 -0.1972380000000342 -0.33449000000009116 -0.41065499999994537 -0.4951399999999924 0.25617000000007806 -2.5457500000002478 -0.29602999999997515 0.27880000000003935 1.5438499999996034 0.8284999999997767 -1.3266000000002431 0.8626249999998707 -0.046396999999999036 -1.135070000000178 -0.25601499999995914 -0.737739999999933 0.38817000000009116 0.13102000000002265 -0.40204999999995955 1.256900000000227 -0.18928350000000876 0.7715250000000996 -1.0058649999997058 0.03469899999999273 0.22407000000006153 -0.6404400000000218 0.3676150000000453 -0.09343699999999479 -0.9315549999997609 -0.03809899999999163 -0.007914999999997998 0.4741400000000439 -0.4251549999999231 -0.25624999999994014 -0.6693599999999083 0.01958899999999757 -0.39306500000012123 0.4735000000000448 -0.4313650000000738 0.023128500000001564 0.19089249999996571 -0.7723900000000764 0.22728999999995297 -0.13696699999997114 -0.5800099999998635 0.7660749999997226 -0.6468699999998601 0.029446000000003823 0.4940049999998339 -0.21798500000007098
9q5cw,0.8254249999999957 -0.49801500000002097 0.42727000000001414 -0.700259999999983 0.5346949999999472 0.775125000000051 0.3926700000000184 0.7845100000000702 -0.006880000000000521 0.49641500000004396 -0.025141499999998016 -0.9751050000001635 -0.36515000000004755 -0.41964999999997094 -0.06902050000000756 -0.9241700000000117 0.5809399999999367 0.6922500000000399 -0.38662999999997655 0.06077149999999139 0.2102795000000082 0.17747999999998817 -0.7321599999999345 0.35620999999995745 0.43095499999996134 -0.2873799999999874 0.36121499999994644 -1.1248999999998568 -0.010118499999999371 0.030046499999997867 -0.05454450000000433 0.12223050000000056 0.2161149999999647 0.8219600000001355 -0.27358000000002575 -0.17140500000002554 0.46942499999991755 -0.43350000000005756 0.4755799999999439 0.29530500000004406 0.11964049999998101 -0.4926599999999214 -0.934199999999923 -0.5584749999999304 0.9278649999999289 -0.29405999999995924 -0.5101850000000611 -0.8137749999999385 -0.017960000000001492 -0.0034334999999998815 -0.19723799999998637 -0.33448999999999546 -0.410655000000008 -0.4951399999999926 0.2561700000000452 -2.545749999999835 -0.2960299999999769 0.2788000000000322 1.5438500000000195 0.8284999999999314 -1.326600000000161 0.8626249999999884 -0.0463970000000075 -1.1350700000000875 -0.2560149999999842 -0.7377399999999378 0.38817000000000973 0.13102000000001032 -0.4020500000000109 1.2569000000001405 -0.18928350000001357 0.7715250000000887 -1.0058650000000695 0.03469899999999628 0.22406999999998695 -0.6404400000000465 0.36761499999997654 -0.09343699999999512 -0.9315550000000622 -0.038098999999994915 -0.007914999999998987 0.4741399999999422 -0.425154999999942 -0.25624999999997106 -0.6693599999999466 0.019588999999998833 -0.39306500000003675 0.47350000000003145 -0.43136499999995104 0.023128500000001526 0.1908925000000137 -0.7723900000000662 0.22729000000002403 -0.13696700000001924 -0.5800100000000407 0.7660749999998986 -0.6468699999999932 0.02944600000000047 0.4940050000000139 -0.2179849999999988
